line_no,text,correct
2,AisazuNihaIrarenai-70	0	,0
3,AkkeraKanjinchou-70	0	,0
4,Akuhamu-9	0	,0
5,AosugiruHaru-57	0	セリフ間違い,0
6,AppareKappore-170	0	,0
7,Arisa-62	1	,1
8,ARMS-88	0	,0
9,BakuretsuKungFuGirl	0	,0
10,Belmondo-68	0	,0
11,BEMADER_P-107	1	,1
12,BokuHaSitatakaKun-121	0	,0
13,BurariTessenTorimonocho-161	0	,0
14,ByebyeC-BOY-43	0	,0
15,Count3DeKimeteAgeru	0	,0
16,DollGun-102	1	,1
17,Donburakokko-88	1	,1
18,DualJustice-176	0	,0
19,EienNoWith	0	,0
20,EvaLady-149	0	,0
21,EverydayOsakanaChan-6	0	,0
22,GakuenNoise-37	0	,0
23,GarakutayaManta-60	0	,0
24,GinNoChimera-69	1	,1
25,GOOD_KISS_Ver2-96	0	,0
26,Hamlet-103	0	,0
27,HanzaiKousyouninMinegishiEitarou-55	0	,0
28,HaruichibanNoFukukoro-126 	1 	(コマの順は間違えている),1
29,HarukaRefrain-112	1	(コマの順は間違えている),1
30,HealingPlanet-3	1	,1
31,HeiseiJimen-89	0	,0
32,HighschoolKimengumi_vol01-163	1	,1
33,HighschoolKimengumi_vol20-64	0	,0
34,HinagikuKenzan-143	1	,1
35,HisokaReturns-25	1	,1
36,JangiriPonpon-194	1	,1
37,JijiBabaFight-90	0	,0
38,Joouari-67	0	,0
39,Jyovolley-142	1	,1
40,KarappoHighschool-155	0	,0
41,KimiHaBokuNoTaiyouDa-118	1	,1
42,KoukouNoHitotachi-17	0	,0
43,KuroidoGanka-15	0	,0
44,KyokugenCyclone-113	1	コマの境目が異なる,1
45,LancelotFullThrottle-44	0	,0
46,LoveHina_vol01-50	0	,0
47,LoveHina_vol14-154	0	,0
48,MAD_STONE-28	0	,0
49,MadouTaiga-49	1	,1
50,MagicianLoad-13	1	,1
51,MagicStarGakuin-126	0	,0
52,MariaSamaNihaNaisyo-158	0	,0
53,MayaNoAkaiKutsu-105	0	,0
54,MemorySeijin-110	0	,0
55,MeteoSanStrikeDesu-159	0	,0
56,MiraiSan-141	0	,0
57,MisutenaideDaisy-147	0	セリフ飛ばし,0
58,MoeruOnisan_vol01-5	0	セリフの間違い,0
59,MoeruOnisan_vol19-29	0	,0
60,MomoyamaHaikagura-73	0	,0
61,MukoukizuNoChonbo-121	0	,0
62,MutekiBoukenSyakuma-7	0	,0
63,Nekodama-9	0	,0
64,NichijouSoup-156	0	はてなのタイミング,0
65,Ningyoushi-83	0	,0
66,OhWareraRettouSeitokai-99	0	,0
67,OL_Lunch-51	0	,0
68,ParaisoRoad-35	0	,0
69,PikaruGenkiDesu-156	1	コマの数や読む順番の認識は間違ってる,1
70,PLANET7-61	0	,0
71,PlatinumJungle-26	0	,0
72,PrayerHaNemurenai-187	0	,0
73,PrismHeart-121	0	セリフの間違い,0
74,PsychoStaff-32	1	,1
75,Raphael-150	0	,0
76,ReveryEarth-66	0	セリフの間違い,0
77,RinToSiteSippuNoNaka-188	1	,1
78,RisingGirl-28	0	セリフの間違い（1文字）,0
79,Saisoku-86	0	,0
80,SaladDays_vol01-84	0	セリフの数の間違い(セリフ抜け),0
81,SaladDays_vol18-75	0	セリフの間違い,0
82,SamayoeruSyonenNiJunaiWo-47	0	,0
83,SeisinkiVulnus-12	1	コマの切れ目は間違っている,1
84,ShimatteIkouze_vol01-51	0	,0
85,ShimatteIkouze_vol26-163	0	,0
86,SonokiDeABC-7	0	セリフそのもの間違い,0
87,SyabondamaKieta-157	0	,0
88,TaiyouNiSmash-135	0	,0
89,TapkunNoTanteisitsu-20	0	,0
90,TasogareTsushin-7	1	セリフ１つ(効果音あり),1
91,TennenSenshiG-43	0	,0
92,TensiNoHaneToAkumaNoShippo-174	0	,0
93,TetsuSan-37	0	,0
94,That'sIzumiko-47	0	,0
95,TotteokiNoABC-41	0	セリフの抜け,0
96,ToutaMairimasu-188	0	,0
97,TouyouKidan-7	0	,0
98,TsubasaNoKioku-172	0	,0
99,UchiNoNyan'sDiary-19	0	,0
100,UchuKigekiM774-89	0	,0
101,UltraEleven-15	0	,0
102,UnbalanceTokyo-148	0	,0
103,WarewareHaOniDearu-20	0	セリフの抜け,0
104,YamatoNoHane-224	1	コマが１つ,1
105,YasasiiAkuma-132	1	コマが１つ,1
106,YouchienBoueigumi-32	0	,0
107,YoumaKourin-148	1	,1
108,YukiNoFuruMachi-66	0	,0
109,YumeiroCooking-187	1	コマが１つ,1
110,YumeNoKayoiji-22	1	,1
