line_no,text,correct
2,AisazuNihaIrarenai-70	1	,1
3,AkkeraKanjinchou-70	1	,1
4,Akuhamu-9	0	,0
5,AosugiruHaru-57	1	セリフ間違い,1
6,AppareKappore-170	1	,1
7,Arisa-62	1	,1
8,ARMS-88	1	,1
9,BakuretsuKungFuGirl	1	,1
10,Belmondo-68	1	,1
11,BEMADER_P-107	1	,1
12,BokuHaSitatakaKun-121	1	,1
13,BurariTessenTorimonocho-161	1	,1
14,ByebyeC-BOY-43	0	,0
15,Count3DeKimeteAgeru	1	,1
16,DollGun-102	1	,1
17,Donburakokko-88	1	,1
18,DualJustice-176	1	,1
19,EienNoWith	1	,1
20,EvaLady-149	0	,0
21,EverydayOsakanaChan-6	1	,1
22,GakuenNoise-37	0	,0
23,GarakutayaManta-60	1	,1
24,GinNoChimera-69	1	,1
25,GOOD_KISS_Ver2-96	1	,1
26,Hamlet-103	1	,1
27,HanzaiKousyouninMinegishiEitarou-55	1	,1
28,HaruichibanNoFukukoro-126 	1	(コマの順は間違えている),1
29,HarukaRefrain-112	1	(コマの順は間違えている),1
30,HealingPlanet-3	0	,0
31,HeiseiJimen-89	1	,1
32,HighschoolKimengumi_vol01-163	1	,1
33,HighschoolKimengumi_vol20-64	1	,1
34,HinagikuKenzan-143	1	,1
35,HisokaReturns-25	1	,1
36,JangiriPonpon-194	1	,1
37,JijiBabaFight-90	1	,1
38,Joouari-67	1	,1
39,Jyovolley-142	1	,1
40,KarappoHighschool-155	1	,1
41,KimiHaBokuNoTaiyouDa-118	1	,1
42,KoukouNoHitotachi-17	0	,0
43,KuroidoGanka-15	1	,1
44,KyokugenCyclone-113	1	コマの境目が異なる,1
45,LancelotFullThrottle-44	0	,0
46,LoveHina_vol01-50	1	,1
47,LoveHina_vol14-154	1	,1
48,MAD_STONE-28	1	,1
49,MadouTaiga-49	1	,1
50,MagicianLoad-13	1	,1
51,MagicStarGakuin-126	1	,1
52,MariaSamaNihaNaisyo-158	1	,1
53,MayaNoAkaiKutsu-105	1	,1
54,MemorySeijin-110	1	,1
55,MeteoSanStrikeDesu-159	1	,1
56,MiraiSan-141	1	,1
57,MisutenaideDaisy-147	1	セリフ飛ばし,1
58,MoeruOnisan_vol01-5	1	セリフの間違い,1
59,MoeruOnisan_vol19-29	1	,1
60,MomoyamaHaikagura-73	1	,1
61,MukoukizuNoChonbo-121	1	,1
62,MutekiBoukenSyakuma-7	1	,1
63,Nekodama-203	1	,1
64,NichijouSoup-156	1	はてなのタイミング,1
65,Ningyoushi-83	1	,1
66,OhWareraRettouSeitokai-99	1	,1
67,OL_Lunch-51	0	,0
68,ParaisoRoad-35	 1	,1
69,PikaruGenkiDesu-156	1	コマの数や読む順番の認識は間違ってる,1
70,PLANET7-61	1	,1
71,PlatinumJungle-26	1	,1
72,PrayerHaNemurenai-187	1	,1
73,PrismHeart-121	1	セリフの間違い,1
74,PsychoStaff-32	1	,1
75,Raphael-150	1	,1
76,ReveryEarth-66	1	セリフの間違い,1
77,RinToSiteSippuNoNaka-188	1	,1
78,RisingGirl-28	1	セリフの間違い（1文字）,1
79,Saisoku-86	1	,1
80,SaladDays_vol01-84	1	セリフの数の間違い(セリフ抜け),1
81,SaladDays_vol18-75	1	セリフの間違い,1
82,SamayoeruSyonenNiJunaiWo-47	1	,1
83,SeisinkiVulnus-12	1	コマの切れ目は間違っている,1
84,ShimatteIkouze_vol01-51	1	,1
85,ShimatteIkouze_vol26-163	1	,1
86,SonokiDeABC-7	1	セリフそのもの間違い,1
87,SyabondamaKieta-157	1	,1
88,TaiyouNiSmash-135	1	,1
89,TapkunNoTanteisitsu-20	1	,1
90,TasogareTsushin-7	1	セリフ１つ(効果音あり),1
91,TennenSenshiG-43	1	,1
92,TensiNoHaneToAkumaNoShippo-174	1	,1
93,TetsuSan-37	0	,0
94,That'sIzumiko-47	1	,1
95,TotteokiNoABC-41	1	セリフの抜け,1
96,ToutaMairimasu-188	1	,1
97,TouyouKidan-7	0	,0
98,TsubasaNoKioku-172	1	,1
99,UchiNoNyan'sDiary-19	1	,1
100,UchuKigekiM774-89	1	,1
101,UltraEleven-15	1	,1
102,UnbalanceTokyo-148	0	,0
103,WarewareHaOniDearu-20	0	セリフの抜け,0
104,YamatoNoHane-224	1	コマが１つ,1
105,YasasiiAkuma-132	1	コマが１つ,1
106,YouchienBoueigumi-32	0	,0
107,YoumaKourin-148	1	,1
108,YukiNoFuruMachi-66	1	,1
109,YumeiroCooking-73	1	コマが１つ,1
110,YumeNoKayoiji-22	1	,1
