model,path,role,source_key,fmt_external,fmt_internal,quantize_bins,quantize_method,n_pages,speech_union_overlap_mean,char_covered_by_speech_mean
deepseek,data/deepseek/_deepseek_exclusive_work_frame_insert_SFT_true_2_for_mIoU.pkl,pred,results,cwh,cxcywh,0,none,2125,0.0021350319025429595,0.04107433698798532
deepseek,data/deepseek/_deepseek_exclusive_work_frame_insert_SFT_true_2_for_mIoU.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0011871877662227802,0.03782995480949007
deepseek,data/deepseek/_deepseek_exclusive_work_no_scenario_template_true_SFT_2_for_mIoU.pkl,pred,results,cwh,cxcywh,0,none,2125,0.003959457710902233,0.03743503868819219
deepseek,data/deepseek/_deepseek_exclusive_work_no_scenario_template_true_SFT_2_for_mIoU.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0011871877662227802,0.03782995480949007
deepseek,data/deepseek/_deepseek_exclusive_work_no_scenario_true_completion_for_mIoU_SFT.pkl,pred,results,cwh,cxcywh,0,none,2125,0.009033688418813256,0.042506714826571014
deepseek,data/deepseek/_deepseek_exclusive_work_no_scenario_true_completion_for_mIoU_SFT.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0011871877662227802,0.03782995480949007
deepseek,data/deepseek/_deepseek_exclusive_work_no_scenario_true_cwh_for_mIoU_SFT.pkl,pred,results,cwh,cxcywh,0,none,2125,0.00481283469303211,0.03237571246398261
deepseek,data/deepseek/_deepseek_exclusive_work_no_scenario_true_cwh_for_mIoU_SFT.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0004781653772620159,0.024979036410763406
deepseek,data/deepseek/_deepseek_exclusive_work_plain_SFT_true_2_for_mIoU.pkl,pred,results,cwh,cxcywh,0,none,2125,0.003437359166124453,0.03944508660396439
deepseek,data/deepseek/_deepseek_exclusive_work_plain_SFT_true_2_for_mIoU.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0011871877662227802,0.03782995480949007
deepseek,data/deepseek/_deepseek_exclusive_work_plain_true_completion_for_mIoU_SFT.pkl,pred,results,cwh,cxcywh,0,none,2125,0.007955266728886906,0.044087826479192176
deepseek,data/deepseek/_deepseek_exclusive_work_plain_true_completion_for_mIoU_SFT.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0011871877662227802,0.03782995480949007
deepseek,data/deepseek/_deepseek_exclusive_work_plain_true_cwh_for_mIoU_SFT.pkl,pred,results,cwh,cxcywh,0,none,2125,0.004026871666045336,0.03260569925579724
deepseek,data/deepseek/_deepseek_exclusive_work_plain_true_cwh_for_mIoU_SFT.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0004781653772620159,0.024979036410763406
layoutdm,data/layoutdm/layoutdm_Lexico_c.pkl,pred,pred,cwh,cxcywh,0,none,2125,0.02731758950261101,0.025321402348641997
layoutdm,data/layoutdm/layoutdm_Lexico_c.pkl,teach,gt,cwh,cxcywh,0,none,2125,0.0011093687289446628,0.03713125776754841
layoutdm,data/layoutdm/layoutdm_Lexico_cwh.pkl,pred,pred,cwh,cxcywh,0,none,2125,0.03953178723673455,0.061717959975753044
layoutdm,data/layoutdm/layoutdm_Lexico_cwh.pkl,teach,gt,cwh,cxcywh,0,none,2125,0.0011093687289446628,0.03713125776754841
layoutdm,data/layoutdm/layoutdm_Lexico_relation.pkl,pred,pred,cwh,cxcywh,0,none,2125,0.05439678883302505,0.03718031959773619
layoutdm,data/layoutdm/layoutdm_Lexico_relation.pkl,teach,gt,cwh,cxcywh,0,none,2125,0.0011093687289446628,0.06132654601209448
layoutformer,data/layoutformer/layoutformer++_exclusive_work_for_mIoU_gen_r.pkl,pred,pred,ltwh,xywh,0,none,2125,0.049841038509168295,0.05430741976041763
layoutformer,data/layoutformer/layoutformer++_exclusive_work_for_mIoU_gen_r.pkl,teach,teach,ltwh,xywh,0,none,2125,0.0004943962029256147,0.02508583237279593
layoutformer,data/layoutformer/layoutformer++_exclusive_work_for_mIoU_gen_t.pkl,pred,pred,ltwh,xywh,0,none,2125,0.04004777264272551,0.042324885878880704
layoutformer,data/layoutformer/layoutformer++_exclusive_work_for_mIoU_gen_t.pkl,teach,teach,ltwh,xywh,0,none,2125,0.0004943962029256147,0.02508583237279593
layoutformer,data/layoutformer/layoutformer++_exclusive_work_for_mIoU_gen_ts.pkl,pred,pred,ltwh,xywh,0,none,2125,0.030001547792701613,0.039714389852891704
layoutformer,data/layoutformer/layoutformer++_exclusive_work_for_mIoU_gen_ts.pkl,teach,teach,ltwh,xywh,0,none,2125,0.0004943962029256147,0.02508583237279593
layoutprompter,data/layoutprompter/layoutprompter_genr_for_mIoU.pkl,pred,results,ltwh,xywh,0,none,2125,0.0087909329369214,0.023202282629401244
layoutprompter,data/layoutprompter/layoutprompter_genr_for_mIoU.pkl,teach,teach,ltwh,xywh,0,none,2125,0.0011093690408403877,0.03735576070100669
layoutprompter,data/layoutprompter/layoutprompter_gent_for_mIoU.pkl,pred,results,ltwh,xywh,0,none,2125,0.00579112085508475,0.04241750834647075
layoutprompter,data/layoutprompter/layoutprompter_gent_for_mIoU.pkl,teach,teach,ltwh,xywh,0,none,2125,0.0011093690408403877,0.03735576070100669
layoutprompter,data/layoutprompter/layoutprompter_gents_for_mIoU.pkl,pred,results,ltwh,xywh,0,none,2125,0.01884599615547209,0.05721667925379319
layoutprompter,data/layoutprompter/layoutprompter_gents_for_mIoU.pkl,teach,teach,ltwh,xywh,0,none,2125,0.0011093690408403875,0.03735576070100669
sarashina,data/sarashina/_52_sarashina_exclusive_work_frame_insert_true_2_for_mIoU.pkl,pred,results,cwh,cxcywh,0,none,2125,0.0040245164124121284,0.04516937235263512
sarashina,data/sarashina/_52_sarashina_exclusive_work_frame_insert_true_2_for_mIoU.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0011871877662227802,0.03782995480949007
sarashina,data/sarashina/_sarashina_exclusive_work_no_scenario_true_2_for_mIoU.pkl,pred,results,cwh,cxcywh,0,none,2125,0.01244188171674924,0.050799824922622853
sarashina,data/sarashina/_sarashina_exclusive_work_no_scenario_true_2_for_mIoU.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0011871877662227802,0.03782995480949007
sarashina,data/sarashina/_sarashina_exclusive_work_no_scenario_true_completion_for_mIoU.pkl,pred,results,cwh,cxcywh,0,none,2125,0.02587098471518485,0.05872025003219646
sarashina,data/sarashina/_sarashina_exclusive_work_no_scenario_true_completion_for_mIoU.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0011871877662227802,0.03782995480949007
sarashina,data/sarashina/_sarashina_exclusive_work_no_scenario_true_cwh_for_mIoU.pkl,pred,results,cwh,cxcywh,0,none,2125,0.009669809359943583,0.04000176488450847
sarashina,data/sarashina/_sarashina_exclusive_work_no_scenario_true_cwh_for_mIoU.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0004781653772620159,0.024979036410763406
sarashina,data/sarashina/_sarashina_exclusive_work_plain_true_2_for_mIoU.pkl,pred,results,cwh,cxcywh,0,none,2125,0.006002083405571588,0.053777647179187475
sarashina,data/sarashina/_sarashina_exclusive_work_plain_true_2_for_mIoU.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0011871877662227802,0.03782995480949007
sarashina,data/sarashina/_sarashina_exclusive_work_plain_true_completion_for_mIoU.pkl,pred,results,cwh,cxcywh,0,none,2125,0.03005467300114785,0.05838995155736784
sarashina,data/sarashina/_sarashina_exclusive_work_plain_true_completion_for_mIoU.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0011871877662227802,0.03782995480949007
